tag	round	n	Setup(s)	EncodeDB(s)	EncodeIndex(s)	Query(ms)	Decrypt(ms)
2order14	1	16384	0.00	0.38	999.63	4887.62	3.96
2order20	2	1048576	0.00	21.98	64359.31	317879.28	3.94
2order12	2	4096	0.00	0.12	250.09	1233.51	3.91
2order20	3	1048576	0.00	22.10	64330.32	324599.04	3.94
2order10	2	1024	0.01	0.03	65.07	289.34	4.06
2order16	3	65536	0.01	1.45	4002.69	19981.95	4.01
2order18	3	262144	0.00	5.55	15984.23	80015.58	3.91
2order18	1	262144	0.01	5.68	16032.60	78656.05	3.98
2order8	1	256	0.01	0.01	16.51	73.16	4.09
2order8	2	256	0.00	0.01	15.78	77.58	3.93
2order12	1	4096	0.01	0.08	263.37	1174.49	4.12
2order10	1	1024	0.00	0.03	68.92	299.36	4.30
2order16	1	65536	0.00	1.40	4010.30	19601.21	3.92
2order20	1	1048576	0.00	21.60	64731.68	314759.94	3.95
2order16	2	65536	0.00	1.41	4011.21	20274.12	3.92
2order14	3	16384	0.00	0.39	999.80	4973.08	3.96
2order10	3	1024	0.01	0.03	62.54	300.97	3.95
2order14	2	16384	0.00	0.37	1000.04	4916.48	4.00
2order12	3	4096	0.00	0.11	249.10	1211.55	3.95
2order8	3	256	0.00	0.00	16.43	72.11	4.10
2order18	2	262144	0.00	5.63	16023.21	80113.21	3.94
