tag	round	n	Setup(s)	Preprocess(s)	Commit(s)	EncodeQuery(ms)	Query(ms)	Verify(ms)	Decrypt(ms)	Update(ms)
2order14	1	16384	19.71	21.63	0.34	771.88	499.79	19.00	2.17	170.91
2order20	2	1048576	1258.07	1384.18	13.62	6188.68	4008.43	25.03	2.30	1365.51
2order12	2	4096	4.96	5.44	0.12	385.10	249.08	16.94	2.19	86.14
2order20	3	1048576	1259.82	1387.33	13.60	6189.07	4012.31	25.07	2.28	1368.93
2order10	2	1024	1.27	1.36	0.05	206.17	130.35	15.95	2.22	44.18
2order16	3	65536	79.09	87.02	1.05	1546.74	1003.42	20.99	2.19	342.15
2order18	3	262144	317.56	347.37	3.67	3099.96	2007.24	23.05	2.20	679.37
2order18	1	262144	315.55	347.39	3.65	3102.70	2010.61	24.58	2.21	681.49
2order8	1	256	0.35	0.34	0.02	94.85	61.04	12.92	2.16	22.44
2order8	2	256	0.33	0.34	0.02	94.86	61.20	12.91	2.13	22.44
2order12	1	4096	4.96	5.41	0.12	412.44	261.37	17.18	2.17	86.05
2order10	1	1024	1.28	1.36	0.05	191.68	123.70	14.95	2.17	43.67
2order16	1	65536	78.67	86.57	1.05	1546.30	1001.22	21.03	2.19	341.12
2order20	1	1048576	1259.46	1385.48	13.58	6181.92	4010.14	25.07	2.27	1365.46
2order16	2	65536	78.73	87.07	1.06	1546.42	1004.54	21.01	2.25	345.66
2order14	3	16384	19.69	21.65	0.34	772.26	499.40	19.02	2.18	170.97
2order10	3	1024	1.25	1.35	0.05	191.51	123.63	14.93	2.18	43.40
2order14	2	16384	19.69	21.66	0.34	772.09	499.69	18.97	2.17	171.02
2order12	3	4096	4.96	5.42	0.12	384.98	249.32	16.98	2.21	86.21
2order8	3	256	0.33	0.34	0.02	94.85	60.98	12.94	2.17	22.50
2order18	2	262144	315.30	346.86	3.72	3093.26	2005.95	23.30	2.17	681.41
