tag	round	n	Setup(s)	Preprocess(s)	Commit(s)	EncodeQuery(ms)	Query(ms)	Verify(ms)	Decrypt(ms)	Update(ms)
2order14	1	16384	19.63	21.59	0.34	812.05	518.85	19.80	2.18	170.31
2order20	2	1048576	1257.45	1386.34	13.83	6649.05	4226.94	27.82	2.27	1370.20
2order12	2	4096	4.92	5.46	0.12	404.77	257.60	17.70	2.23	86.28
2order20	3	1048576	1258.85	1390.56	13.85	6596.78	4213.45	27.84	2.30	1431.22
2order10	2	1024	1.24	1.35	0.05	201.38	128.68	15.58	2.20	43.51
2order16	3	65536	78.59	86.34	1.06	1627.14	1039.90	21.98	2.21	340.01
2order18	3	262144	313.33	346.25	3.71	3260.56	2083.09	24.08	2.20	679.85
2order18	1	262144	314.22	346.01	3.75	3258.09	2083.93	24.08	2.20	680.33
2order8	1	256	0.36	0.34	0.02	99.71	63.08	13.44	2.21	22.31
2order8	2	256	0.35	0.34	0.02	99.82	63.41	13.46	2.17	22.36
2order12	1	4096	4.91	5.40	0.12	405.10	258.70	17.69	2.18	85.89
2order10	1	1024	1.24	1.35	0.05	201.42	127.94	15.54	2.19	43.52
2order16	1	65536	78.43	86.34	1.07	1627.29	1039.65	21.98	2.16	339.73
2order20	1	1048576	1257.02	1387.84	13.85	6535.62	4167.19	26.23	2.28	1377.59
2order16	2	65536	78.57	86.46	1.06	1625.42	1034.98	21.97	2.18	339.90
2order14	3	16384	19.67	21.59	0.34	812.53	517.71	20.64	2.20	170.45
2order10	3	1024	1.26	1.35	0.05	201.47	128.48	15.56	2.17	43.47
2order14	2	16384	19.70	21.63	0.34	812.30	519.29	19.83	2.17	170.70
2order12	3	4096	4.95	5.45	0.12	404.99	258.51	17.68	2.23	86.59
2order8	3	256	0.34	0.34	0.02	100.76	63.62	13.56	2.17	22.53
2order18	2	262144	313.41	345.45	3.72	3261.36	2081.08	24.06	2.22	678.68
