tag	round	n	Setup(s)	Preprocess(s)	Commit(s)	EncodeQuery(ms)	Query(ms)	Verify(ms)	Decrypt(ms)	Update(ms)
2order14	1	16384	19.62	21.58	0.34	869.50	544.41	20.62	2.20	170.67
2order20	2	1048576	1265.76	1385.16	13.67	6506.71	4171.00	26.27	2.28	1364.01
2order12	2	4096	4.93	5.39	0.12	404.68	257.53	17.68	2.19	85.87
2order20	3	1048576	1253.99	1388.08	13.63	6495.09	4147.31	26.23	2.33	1367.96
2order10	2	1024	1.26	1.35	0.05	201.38	128.00	15.57	2.20	43.64
2order16	3	65536	78.39	86.42	1.05	1622.65	1034.74	21.86	2.17	339.13
2order18	3	262144	313.42	345.89	3.66	3252.86	2071.03	24.13	2.21	680.16
2order18	1	262144	313.54	345.36	3.65	3249.10	2080.73	24.09	2.20	678.55
2order8	1	256	0.35	0.34	0.02	99.69	63.13	13.38	2.19	22.37
2order8	2	256	0.33	0.34	0.02	99.70	63.14	13.53	2.16	22.39
2order12	1	4096	4.93	5.39	0.12	405.23	258.54	17.69	2.19	85.78
2order10	1	1024	1.31	1.35	0.05	201.49	128.55	15.51	2.17	43.49
2order16	1	65536	78.45	86.51	1.05	1626.57	1039.89	21.93	2.18	339.84
2order20	1	1048576	1253.74	1382.12	13.61	6502.77	4141.70	26.80	2.28	1363.90
2order16	2	65536	79.23	86.60	1.06	1625.61	1035.18	21.96	2.19	339.68
2order14	3	16384	19.62	21.58	0.34	811.76	518.93	19.81	2.16	170.75
2order10	3	1024	1.27	1.35	0.05	206.37	130.48	15.87	2.19	43.40
2order14	2	16384	19.62	21.56	0.34	811.66	518.91	19.79	2.12	170.43
2order12	3	4096	4.99	5.39	0.12	431.14	269.26	18.05	2.18	85.88
2order8	3	256	0.32	0.34	0.02	99.75	63.43	13.43	2.17	22.51
2order18	2	262144	313.25	345.29	3.66	3250.69	2075.76	24.16	2.21	684.44
